BlockHeight,Records,Record Target,MinDifficulty (int),MinDifficulty (hex),Best Diff (int),Best Diff (hex),Last Graded Index,Last Graded (int),Last Graded (hex),Last Index,Last (int),Last (hex),Total Hashes,Hash Rate
0,50,100,0,0,18446681688644574519,ffffc742d85cdd37,50,18444508241730111357,fff80e85cd16877d,50,18444508241730111357,fff80e85cd16877d,495647,99129.400
1,127,100,18442272409750671360,fff01d0b9a2d1000,18446721262591318031,ffffeb40df66980f,50,18445062390101454787,fffa068485ea2fc3,127,18442286712094782263,fff02a0da050f337,443780,88756.000
2,85,100,18443380706493358080,fff40d090bd46000,18446742831715016009,fffffeded35b5d49,50,18444941610889966358,fff998ab6beaf316,85,18443448871241174235,fff44b07e368ccdb,499816,99963.200
3,101,100,18443139148070379520,fff33156d7d5e000,18446702678542079540,ffffda59efbf5634,50,18445146785850391840,fffa5346708cfd20,101,18443163156964576939,fff3472cd9720eab,494515,98903.000
4,81,100,18443549497991233536,fff4a68ce11a0000,18446735679405608966,fffff85d8c7ed006,50,18444985902848732759,fff9c0f3f262ee57,81,18443565122997035653,fff4b4c2dc05a285,498925,99785.000
5,96,100,18443227731987914752,fff381e7e4c5e000,18446726136228319134,ffffefaf9acd8f9e,50,18444553567638196498,fff837bf0fbd1112,96,18443228179191392198,fff38250042d67c6,498550,99710.000
6,127,100,18442363061566840832,fff06f7e1f7a2000,18446686454826377938,ffffcb988eefa2d2,50,18445166060958136656,fffa64ce46803950,127,18442365460403366029,fff071aca546a88d,498976,99795.200
7,87,100,18443588048206721024,fff4c99c8d007000,18446722688873531686,ffffec8cf4720926,50,18445097087072325263,fffa26130a89ce8f,87,18443590117999807661,fff4cb7e76488cad,486223,97244.600
8,97,100,18443450100435099648,fff44c261513a000,18446733513923959481,fffff6655bbb1ab9,50,18444898925982142335,fff971d911264f7f,97,18443491283122611854,fff4719aac89668e,499378,99875.600
9,109,100,18443053778254733312,fff2e3b2224ca000,18446735043219449553,fffff7c96cd866d1,50,18445110624352154405,fffa3262ef4b3325,109,18443097281621175063,fff30b430d00ab17,491667,98333.400
10,107,100,18443477174994755584,fff464c5de966000,18446621164894322748,ffff90370fba803c,50,18444983619238350495,fff9bee04099ce9f,107,18443500501452251073,fff479fcfbccdfc1,499369,99873.800
11,112,100,18443223164767150080,fff37dc08133a000,18446740827909881177,fffffd0c47437d59,50,18445350486316338758,fffb0c8a2676ce46,112,18443264628836733450,fff3a3769c57120a,499307,99861.400
12,83,100,18443956898923126784,fff619144ceda000,18446661297246532687,ffffb4b71a53744f,50,18445133425166213118,fffa471fa9b75ffe,83,18443988364120559517,fff635b25cd80f9d,499954,99990.800
13,78,100,18443522776622874624,fff48e3f536ec000,18446612729227850959,ffff888afad334cf,50,18444677169846466330,fff8a8297174b71a,78,18443547561577751618,fff4a4ca05dd2442,457580,91516.000
