BlockHeight,Records,Record Target,MinDifficulty (int),MinDifficulty (hex),Best Diff (int),Best Diff (hex),Last Graded Index,Last Graded (int),Last Graded (hex),Last Index,Last (int),Last (hex),Total Hashes,Hash Rate
0,50,150,0,0,18446718474497921556,ffffe8b7b8159214,50,18445764811837616722,fffc855dd3fb3252,50,18445764811837616722,fffc855dd3fb3252,1120825,224165.000
1,138,150,18443806288093745152,fff590197bf19000,18446710919900994558,ffffe1d8c7049bfe,50,18445646742006535983,fffc19fb8da4172f,138,18443811433384672817,fff594c7772e7e31,990507,198101.400
2,149,150,18443452078600505344,fff44df2a8ec4800,18446666740346138819,ffffb9aa6c5830c3,50,18445816315583512973,fffcb4357a75c18d,149,18443488802119921819,fff46f590540b09b,881208,176241.600
3,123,150,18443960799331434496,fff61ca06f614000,18446705206228341176,ffffdca67596d1b8,50,18445698825138822798,fffc495a1a3d5e8e,123,18443963039748059828,fff61eaa129df2b4,878538,175707.600
4,171,150,18443608327997366272,fff4dc0e4eb82000,18446739912022983512,fffffc3708268358,50,18445753255232076052,fffc7adb189cf914,171,18443609772621074130,fff4dd5ea9008ed2,1011577,202315.400
5,105,150,18443771618277124096,fff5709149d6e800,18446652001182511271,ffffac42b1bb70a7,50,18445179995563638542,fffa717aadb63f0e,105,18443775515598945226,fff5741cb4527bca,565225,113045.000
6,165,150,18442051839271813120,ffef54700922c000,18446713815607569745,ffffe47afc946d51,50,18445523128781742049,fffba98e9b499fe1,165,18442086533702621241,ffef73fdf65c1839,656154,131230.800
7,142,150,18443081238926123008,fff2fcabd1dce000,18446721457176138819,ffffeb6e2d8f5443,50,18445420418153645480,fffb4c246cc905a8,142,18443085813116278303,fff300d4d4d7961f,596835,119367.000
8,183,150,18442773107041835008,fff1e46d465b1800,18446736626769731216,fffff93a1fcc1e90,50,18445789755364007732,fffc9c0d7202df34,183,18442779473875081428,fff1ea37ab3098d4,797160,159432.000
9,151,150,18443881118672920576,fff5d4285608a000,18446740462600957978,fffffcb73927b01a,50,18445715805489052479,fffc58cba5fbbb3f,151,18443886404967023838,fff5d8f725b744de,922862,184572.400
10,176,150,18443659269048051712,fff50a62f1f32800,18446742653628628535,fffffeb55c94be37,50,18446013033427866436,fffd671f6bb19344,176,18443691927839648011,fff52816e99f290b,1066881,213376.200
11,84,150,18444550952864493568,fff8355e4314b000,18446740278891738614,fffffc8c733b75f6,50,18445656908137920796,fffc233a8a4a791c,84,18444555314955668541,fff83955e3f9cc3d,713073,142614.600
12,173,150,18443482576994658304,fff469af9edf6800,18446735943336483139,fffff89b00005943,50,18445732701052620366,fffc6829740c4e4e,173,18443484258025862649,fff46b370423f5f9,865290,173058.000
