BlockHeight,Records,Record Target,MinDifficulty (int),MinDifficulty (hex),Best Diff (int),Best Diff (hex),Last Graded Index,Last Graded (int),Last Graded (hex),Last Index,Last (int),Last (hex),Total Hashes,Hash Rate
0,50,200,0,0,18446743757710172057,ffffffb66cf81f99,50,18446592093572722844,ffff75c65dee709c,50,18446592093572722844,ffff75c65dee709c,5982100,99701.667
1,213,200,18446136153162235904,fffdd71977b9c000,18446743819154324876,ffffffc4bb537d8c,50,18446600697136681419,ffff7d998a4e11cb,213,18446137142060532408,fffdd7ffb6a842b8,5995042,99917.367
2,187,200,18446170567418068992,fffdf66629384000,18446735304837872837,fffff8065684bcc5,50,18446576502977208458,ffff67986606208a,187,18446170726061579703,fffdf68b191c1db7,5996840,99947.333
3,243,200,18446073790780178432,fffd9e6198188000,18446743894335723338,ffffffd63c7c974a,50,18446605681554883066,ffff822210c801fa,243,18446084225473079237,fffda7df1c4267c5,5994876,99914.600
4,183,200,18446190505090875392,fffe088843200000,18446743713112489272,ffffffac0abd7d38,50,18446620625395315038,ffff8fb97314f15e,183,18446192849672619877,fffe0aaa27164765,5994500,99908.333
5,150,200,18446250280452603904,fffe3ee5cc53c000,18446740894632028901,fffffd1bd036aae5,50,18446613492223344957,ffff893ca0e6813d,150,18446251974707391375,fffe407045c82b8f,5989411,99823.517
6,168,200,18446221747764723712,fffe24f2839a0000,18446742823903335356,fffffedd01be93bc,50,18446582013943648692,ffff6c9b853891b4,168,18446222013027140128,fffe253046794220,5988514,99808.567
7,211,200,18446095834645938176,fffdb26e14e24000,18446741354716333324,fffffd86ef60050c,50,18446610417268536190,ffff8670af4fb37e,211,18446096177131029276,fffdb2bdd296031c,5990740,99845.667
8,183,200,18446209447945486336,fffe19c2bd3ec000,18446743543323679788,ffffff848289dc2c,50,18446585094724776642,ffff6f68d215f2c2,183,18446219129070088805,fffe2290cd3cf265,5990705,99845.083
9,192,200,18446108157770448896,fffdbda34857c000,18446742870648760702,fffffee7e3fd297e,50,18446551365459272307,ffff50bb9d326273,192,18446108178941403648,fffdbda8363ae200,5979649,99660.817
10,234,200,18445973240708431872,fffd42ee74c98000,18446743562289011259,ffffff88ecf5da3b,50,18446602280672890906,ffff7f0a3c6b101a,234,18445978476483123385,fffd47b1814718b9,5983132,99718.867
11,195,200,18446176901562908672,fffdfc28f1ac4000,18446743429127227452,ffffff69ebe6483c,50,18446587698456694230,ffff71c70c9a0dd6,195,18446178125620280705,fffdfd45f12d7d81,5993727,99895.450
12,203,200,18446118572698124288,fffdc71c32684000,18446737684973313874,fffffa3081a55f52,50,18446596506503518610,ffff79c9d51a9992,203,18446120083473606610,fffdc87bf3a4a7d2,5984450,99740.833
13,182,200,18446153804885417984,fffde727546a6000,18446743806152058268,ffffffc1b454a59c,50,18446570648542371763,ffff62454e83dfb3,182,18446156677120463465,fffde9c412f71269,5992123,99868.717
14,217,200,18446050373040832512,fffd89153a0f8000,18446741558050378506,fffffdb64707530a,50,18446576485021257955,ffff679437c410e3,217,18446056388443923619,fffd8e8dcc0664a3,5994434,99907.233
15,227,200,18446073718956376064,fffd9e50df104000,18446738459188133253,fffffae4c471fd85,50,18446571398214741504,ffff62f3da786e00,227,18446075039181287126,fffd9f844299aed6,5989306,99821.767
16,224,200,18446053371730313216,fffd8bcf69e1c000,18446739482951229571,fffffbd3217b2083,50,18446605877580377031,ffff824fb4cfabc7,224,18446053740787713127,fffd8c25576ac467,5993190,99886.500
17,174,200,18446191289192849408,fffe093ed33ea000,18446733603536312866,fffff67a390b1a22,50,18446617453013770231,ffff8cd6d2681ff7,174,18446191913742852406,fffe09d03d536136,5993990,99899.833
18,158,200,18446237590926426112,fffe335b49a08000,18446744017724675570,fffffff2f70a95f2,50,18446567451211200022,ffff5f5cdeb9f616,158,18446239985979393795,fffe3588ede88703,5996105,99935.083
19,220,200,18446037583716147200,fffd7d737ae7e000,18446739467345813595,fffffbcf7f53605b,50,18446592583076973699,ffff763856a88c83,220,18446038984610077420,fffd7eb9a6b0daec,5996776,99946.267
20,199,200,18446138111179243520,fffdd8e15aa24000,18446739414624353613,fffffbc338e1bd4d,50,18446601862160191620,ffff7ea8cb1e1084,199,18446138303423843498,fffdd90e1d4e0caa,5989731,99828.850
21,155,200,18446175227512111104,fffdfaa32c784000,18446739281954573130,fffffba455258b4a,50,18446532946556705779,ffff3ffb210d5bf3,155,18446180553671153172,fffdff7b44499614,5997269,99954.483
22,250,200,18445899565098164224,fffcffec84356000,18446743292791538920,ffffff4a2da8c4e8,50,18446544602518526973,ffff4a94fe841bfd,250,18445905964020178744,fffd05be61ae9f38,5990624,99843.733
23,266,200,18445946188945448960,fffd2a53fa106000,18446741092788309112,fffffd49f33f8c78,50,18446603676346449501,ffff804f310b7e5d,266,18445948840242452884,fffd2cbd47ae1994,5995786,99929.767
24,188,200,18446182484257144832,fffe013cc42e0000,18446741167825065897,fffffd5b6bc997a9,50,18446564718777494710,ffff5ce0acfc6cb6,188,18446186349434907054,fffe04c0b2ba29ae,5996875,99947.917
25,213,200,18446026653981327360,fffd7382b3f1c000,18446744022872237887,fffffff429dc273f,50,18446588554086433018,ffff728e441bc0fa,213,18446033422054460045,fffd79aa848a0a8d,5985857,99764.283
26,188,200,18446121995217076224,fffdca39106f0000,18446740454002002379,fffffcb5389e09cb,50,18446614874419573434,ffff8a7e723732ba,188,18446124050022512670,fffdcc177c61b81e,5995911,99931.850
27,173,200,18446227276549636096,fffe29f9c8dcc000,18446737943209385217,fffffa6ca1b71d01,50,18446564724219112273,ffff5ce1f154eb51,173,18446231537665920043,fffe2dd9e72f4c2b,5996016,99933.600
28,221,200,18446026675747790848,fffd7387c553a000,18446743649733327814,ffffff9d490c3bc6,50,18446607121575517646,ffff837158b31dce,221,18446026728370394853,fffd739405e0d6e5,5996519,99941.983
29,169,200,18446196265173417984,fffe0dc562cc8000,18446740696947344983,fffffcedc949c657,50,18446565523091696917,ffff5d9bf1d92d15,169,18446199763305664423,fffe10f3dbba8fa7,5987335,99788.917
