BlockHeight,Records,Record Target,MinDifficulty (int),MinDifficulty (hex),Best Diff (int),Best Diff (hex),Last Graded Index,Last Graded (int),Last Graded (hex),Last Index,Last (int),Last (hex),Total Hashes,Hash Rate
0,50,200,0,0,18446737847756581729,fffffa566848eb61,50,18446604399559295511,ffff80f793e3c217,50,18446604399559295511,ffff80f793e3c217,5213000,1042600.000
1,144,200,18446185377108525056,fffe03de4f8f0000,18446744055480406833,fffffffbc1755331,50,18446553068010486492,ffff524805283adc,144,18446185693687736442,fffe04280526687a,5231423,1046284.600
2,214,200,18445980050913288192,fffd492014a0e000,18446734589397631368,fffff75fc2f50188,50,18446527976885912248,ffff3b76099702b8,214,18445992938613798375,fffd54d8bb7075e7,5231716,1046343.200
3,258,200,18445879686414991360,fffcedd8265c0000,18446739406688094880,fffffbc15fd80aa0,50,18446594491772668088,ffff77f4bdc988b8,258,18445882822345596982,fffcf0b24a63a036,5139735,1027947.000
4,177,200,18446145745962016768,fffddfd2f7262000,18446743872735271748,ffffffd134ffdb44,50,18446567804144737715,ffff5faf0b345db3,177,18446148671414262045,fffde27c19b0d91d,5282873,1056574.600
5,203,200,18446038995450298368,fffd7ebc2cd18000,18446739012671074788,fffffb65a29971e4,50,18446563947105938719,ffff5c2d01c6ed1f,203,18446041184787603212,fffd80b9eb7d9f0c,5110174,1022034.800
6,194,200,18446023567295102976,fffd70b4071bc000,18446741427607684137,fffffd97e809c429,50,18446546291060361538,ffff4c1e2373c942,194,18446025779413666769,fffd72b713a64bd1,5076160,1015232.000
7,256,200,18445952943112790016,fffd30788dcf2000,18446738049339123816,fffffa85578a6868,50,18446566795044574195,ffff5ec41825d3f3,256,18445954781745185546,fffd3224a4d7030a,5329968,1065993.600
8,183,200,18446034959049637888,fffd7b1060974000,18446734451827767126,fffff73fbb277756,50,18446549532828351289,ffff4f10ebe1bb39,183,18446038937138013162,fffd7eae9922a3ea,5183807,1036761.400
9,230,200,18445965910184747008,fffd3c43af86e000,18446730488070373340,fffff3a4d8cd7fdc,50,18446576346660146441,ffff677400cd0d09,230,18445970589209363225,fffd40851b208319,5198866,1039773.200
10,191,200,18446073165511933952,fffd9dd003344000,18446742898893364675,fffffeee777f9dc3,50,18446571563565085260,ffff631a5a1e724c,191,18446075938013570416,fffda055892de570,5205419,1041083.800
11,194,200,18446054033131683840,fffd8c696879c000,18446743461635066113,ffffff717d848901,50,18446563030609442594,ffff5b579e543722,194,18446062135008595645,fffd93c7c5f88ebd,5226980,1045396.000
12,198,200,18446019901309116416,fffd6d5e7950e000,18446741217070110669,fffffd66e30557cd,50,18446559858913236053,ffff58752680d455,198,18446021333205751435,fffd6eabdd01968b,5291554,1058310.800
13,215,200,18446007214524293120,fffd61d49a036000,18446742087087475912,fffffe317418ccc8,50,18446552985658472964,ffff5234d8983a04,215,18446010155473137946,fffd64815839711a,5353442,1070688.400
14,215,200,18445979721505234944,fffd48d36260e000,18446743203929420678,ffffff357d107386,50,18446585749968986813,ffff700161af22bd,215,18445986201657093448,fffd4eb829872d48,5289729,1057945.800
15,170,200,18446110778747289600,fffdc00586bc8000,18446743181582500264,ffffff30491581a8,50,18446572119171024889,ffff639bb6d047f9,170,18446120686893099348,fffdc908723f6954,5230509,1046101.800
